"","UF","status","n","year","week","min","max"
"7116","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7117","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7118","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7119","Brasil","Dado estável. Sujeito a pequenas alterações.","17",2013,47,"17","17"
"7120","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7121","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7122","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7123","Goiás","Dado estável. Sujeito a pequenas alterações.","1",2013,47,"1","1"
"7124","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7125","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7126","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7127","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","4",2013,47,"4","4"
"7128","Paraná","Dado estável. Sujeito a pequenas alterações.","3",2013,47,"3","3"
"7129","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7130","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7131","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7132","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7133","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7134","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","1",2013,47,"1","1"
"7135","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","1",2013,47,"1","1"
"7136","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7137","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7138","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","1",2013,47,"1","1"
"7139","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7140","São Paulo","Dado estável. Sujeito a pequenas alterações.","6",2013,47,"6","6"
"7141","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7142","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7143","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7144","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7145","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7146","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7147","Brasil","Dado estável. Sujeito a pequenas alterações.","2",2013,48,"2","2"
"7148","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7149","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7150","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
