"","UF","status","n","year","week","min","max"
"148","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"149","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"150","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"151","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"152","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"153","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"154","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"155","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"156","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"157","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"158","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"159","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"160","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"161","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"162","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"163","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"164","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"165","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"166","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"167","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"168","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"169","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"170","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"171","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"172","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"173","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"174","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"175","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"176","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"177","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"178","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"179","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"180","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"181","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"182","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"183","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"184","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"185","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"186","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"187","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"188","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"189","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
