"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"108",2009,4,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"109",2009,4,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"110",2009,4,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"111",2009,4,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"112",2009,4,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"113",2009,5,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"114",2009,5,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"115",2009,5,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"116",2009,5,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"117",2009,5,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"118",2009,5,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"119",2009,5,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"120",2009,5,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"121",2009,5,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"122",2009,5,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"123",2009,5,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"124",2009,5,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"125",2009,5,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"126",2009,5,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"127",2009,5,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"128",2009,5,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
